Waktu,Kecerahan,Temperature,Latitude,Longtitude
1214.847307141,14.3000001907349,26.3999996185303,-6.86098758,107.57531754
1224.839140731,14.3999996185303,26.1000003814697,-6.86098647,107.57531752
1234.832726925,14.3999996185303,26.3999996185303,-6.86098525,107.57531776
1244.824601192,14.5,26.3999996185303,-6.86098416,107.5753173
1254.820499834,14.5,26.3999996185303,-6.86098347,107.57531708
1264.812343059,14.5,26.3999996185303,-6.86098304,107.57531697
1274.856733211,14.6000003814697,26.3999996185303,-6.86098273,107.57531694
1284.849067687,14.6000003814697,26.3999996185303,-6.86098255,107.57531691
1294.843898621,14.6000003814697,26.3999996185303,-6.86098206,107.575317
1304.839494502,14.6999998092651,26.1000003814697,-6.86098156,107.57531732
1314.831440852,14.6999998092651,26.3999996185303,-6.86098068,107.57531908
1324.823153192,14.8000001907349,26.3999996185303,-6.8609802,107.57532031
1334.819558501,14.8000001907349,26.1000003814697,-6.86097996,107.5753215
1344.860042456,14.8000001907349,26.1000003814697,-6.86097966,107.57532167
1354.857802452,14.8999996185303,26.1000003814697,-6.8609779,107.5753207
1364.849555573,14.8999996185303,26.1000003814697,-6.86097637,107.5753195
1374.842323121,14.8999996185303,26.1000003814697,-6.86097544,107.57531794
1384.836720774,15,26.1000003814697,-6.86097396,107.57531642
1394.830219572,15,26.1000003814697,-6.86097386,107.57531571
1404.82353212,15,26.1000003814697,-6.86097419,107.57531501
1414.866366231,15.1000003814697,26.1000003814697,-6.86097449,107.57531486
1424.860736748,15.1000003814697,26.1000003814697,-6.86097396,107.57531376
1434.85413414,15.1000003814697,26.1000003814697,-6.86097347,107.575313
1444.895472105,15.1000003814697,26.1000003814697,-6.86097313,107.57531175
1454.841694757,15.1999998092651,26.1000003814697,-6.8609733,107.57531121
1464.834847722,15.1999998092651,26.1000003814697,-6.86097407,107.5753109
1474.828936937,15.3000001907349,26.1000003814697,-6.86097514,107.57531118
1484.8703036,15.3000001907349,25.7000007629395,-6.86097606,107.57531153
1494.865163023,15.3000001907349,25.7000007629395,-6.86097724,107.57531251
1504.85726328,15.3999996185303,26.1000003814697,-6.8609781,107.5753139
1514.851968693,15.3999996185303,25.7000007629395,-6.86097899,107.57531573
1524.895161866,15.3999996185303,26.1000003814697,-6.86097964,107.57531698
1534.84098806,15.3999996185303,25.7000007629395,-6.86098041,107.57531832
1544.833851963,15.5,25.7000007629395,-6.86098131,107.57531974
1554.881823938,15.5,25.7000007629395,-6.86098213,107.57532116
1564.868632476,15.5,25.7000007629395,-6.8609848,107.57532451
1574.864192785,15.5,25.7000007629395,-6.86098675,107.57532659
1584.858220385,15.6000003814697,25.7000007629395,-6.86098802,107.57532831
1594.853914496,15.6000003814697,25.7000007629395,-6.86098845,107.57532982
1604.845235898,15.6000003814697,25.7000007629395,-6.86098877,107.57533076
1614.841254696,15.6000003814697,25.7000007629395,-6.86098966,107.57533181
1624.881605682,15.6999998092651,25.7000007629395,-6.86099019,107.57533159
1634.87592323,15.6999998092651,25.7000007629395,-6.86099044,107.57533099
1644.869440362,15.6999998092651,25.7000007629395,-6.86099077,107.57533076
1654.862774264,15.8000001907349,25.7000007629395,-6.86099189,107.5753299
1664.858637073,15.8000001907349,25.7000007629395,-6.8609918,107.57532996
1674.851100767,15.8000001907349,25.7000007629395,-6.86099235,107.57532959
1684.846458055,15.8999996185303,25.7000007629395,-6.86099238,107.57532883
1694.887228989,15.8999996185303,25.7000007629395,-6.8609921,107.57532794
